id,gist_name,local_name,status,steam_name,steam_category,req_str,req_dex,req_int,req_fth,model,wepmotionCategory,spAtkcategory,behaviorVariationId,notes
100000,Dagger,Dagger,exact_match,Dagger,Daggers,5,8,0,0,WP_A_0100,20,0,2000,
101000,Parrying Dagger,Parrying Dagger,exact_match,Parrying dagger,Daggers,5,14,0,0,WP_A_0107,20,71,2000,
102000,Ghost Blade,Ghost Blade,exact_match,Ghost Blade,Daggers,5,0,0,0,WP_A_0103,20,120,2003,
103000,Bandit's Knife,Bandit's Knife,exact_match,Bandit's Knife,Daggers,6,12,0,0,WP_A_0101,20,72,2001,
104000,Priscilla's Dagger,Priscilla's Dagger,exact_match,Priscilla's Dagger,Daggers,6,20,0,0,WP_A_0104,20,73,2002,
199000,徘徊短剣,,excluded_unused_japanese_name,,,,,,,WP_A_2001,20,0,2000,
200000,Shortsword,Shortsword,exact_match,Shortsword,Straight Swords,8,10,0,0,WP_A_0207,23,0,2300,
201000,Longsword,Longsword,exact_match,Longsword,Straight Swords,10,10,0,0,WP_A_0201,23,0,2300,
202000,Broadsword,Broadsword,exact_match,Broadsword,Straight Swords,10,10,0,0,WP_A_0204,23,53,2301,
203000,Broken Straight Sword,Broken Straight Sword,exact_match,Broken Straight Sword,Straight Swords,8,8,0,0,WP_A_0200,23,0,2300,
204000,Balder Side Sword,Balder Side Sword,exact_match,Balder Side Sword,Straight Swords,10,14,0,0,WP_A_0202,23,54,2302,
205000,Crystal Straight Sword,Crystal Straight Sword,exact_match,Crystal Straight Sword,Straight Swords,16,10,0,0,WP_A_0203,23,0,2300,
206000,Sunlight Straight Sword,Sunlight Straight Sword,exact_match,Sunlight Straight Sword,Straight Swords,12,12,0,0,WP_A_0231,23,0,2300,
207000,Barbed Straight Sword,Barbed Straight Sword,exact_match,Barbed Straight Sword,Straight Swords,10,10,0,0,WP_A_0264,23,53,2301,
208000,Silv. Knight Str. Sword,Silv. Knight Str. Sword,alias_match,Silver Knight Straight Sword,Straight Swords,16,22,0,0,WP_A_0212,23,55,2303,
209000,Astora's Straight Sword,Astora's Straight Sword,exact_match,Astora's Straight Sword,Straight Swords,10,10,0,14,WP_A_0271,23,0,2300,
210000,Darksword,Darksword,exact_match,Darksword,Straight Swords,16,16,0,0,WP_A_0260,23,57,2304,
211000,Drake Sword,Drake Sword,exact_match,Drake Sword,Straight Swords,16,10,0,0,WP_A_0291,23,58,2305,
212000,Straight Sword Hilt,Straight Sword Hilt,exact_match,Straight Sword Hilt,Straight Swords,6,6,0,0,WP_A_0272,23,53,2301,
299000,徘徊直剣,,excluded_unused_japanese_name,,,,,,,WP_A_2002,23,0,2300,
300000,Bastard Sword,Bastard Sword,exact_match,Bаstard Sword,Greatswords,16,10,0,0,WP_A_0206,25,0,2500,
301000,Claymore,Claymore,exact_match,Claymore,Greatswords,16,10,0,0,WP_A_0266,25,74,2505,
302000,Man-serpent Greatsword,Man-serpent Greatsword,exact_match,Man-Serpent Greatsword,Greatswords,24,0,0,0,WP_A_0210,25,0,2500,
303000,Flamberge,Flamberge,exact_match,Flamberge,Greatswords,16,14,0,0,WP_A_0211,25,75,2502,
304000,Crystal Greatsword,Crystal Greatsword,exact_match,Crystal Greatsword,Greatswords,20,10,0,0,WP_A_0263,25,0,2500,
306000,Stone Greatsword,Stone Greatsword,exact_match,Stone Greatsword,Greatswords,40,10,0,0,WP_A_0220,25,77,2503,
307000,Greatsword of Artorias,Greatsword of Artorias,exact_match,Greatsword of Artorias,Greatswords,24,18,20,20,WP_A_0267,25,78,2506,
309000,Moonlight Greatsword,Moonlight Greatsword,exact_match,Moonlight Greatsword,Greatswords,16,10,28,0,WP_A_0258,25,79,2504,
310000,Black Knight Sword,Black Knight Sword,exact_match,Black Knight Sword,Greatswords,20,18,0,0,WP_A_0259,25,80,2501,
311000,Greatsword of Artorias,Greatsword of Artorias,exact_match,Greatsword of Artorias,Greatswords,24,18,20,20,WP_A_0269,25,78,2506,
312000,Greatsword of Artorias,Greatsword of Artorias,exact_match,Greatsword of Artorias,Greatswords,24,18,20,20,WP_A_0269,25,78,2506,
